,Home Team Initials,Away Team Initials,weight,Home Goal Total
0,ALG,AUT,1,0
1,ALG,CHI,1,3
2,ALG,ESP,1,0
3,ALG,NIR,1,1
4,ALG,RUS,1,1
5,ALG,SVN,1,0
6,ANG,POR,1,0
7,ARG,BEL,4,4
8,ARG,BIH,1,2
9,ARG,BRA,3,2
10,ARG,BUL,3,3
11,ARG,CHI,1,3
12,ARG,CIV,1,2
13,ARG,CMR,1,0
14,ARG,CRO,1,1
15,ARG,ENG,3,4
16,ARG,ESP,1,2
17,ARG,FRA,2,3
18,ARG,FRG,2,4
19,ARG,GDR,1,1
20,ARG,GER,1,0
21,ARG,GRE,1,4
22,ARG,HAI,1,4
23,ARG,HUN,2,6
24,ARG,IRN,1,1
25,ARG,ITA,1,1
26,ARG,JAM,1,5
27,ARG,JPN,1,1
28,ARG,KOR,2,7
29,ARG,MEX,3,11
30,ARG,NED,1,3
31,ARG,NGA,3,4
32,ARG,NIR,1,3
33,ARG,PER,1,6
34,ARG,POL,1,2
35,ARG,ROU,1,1
36,ARG,SCG,1,6
37,ARG,SLV,1,2
38,ARG,SUI,3,4
39,ARG,URS,1,2
40,ARG,URU,1,1
41,ARG,USA,1,6
42,AUS,CHI,1,0
43,AUS,ESP,1,0
44,AUS,FRG,1,0
45,AUS,JPN,1,3
46,AUS,NED,1,2
47,AUS,SRB,1,2
48,AUT,ESP,1,2
49,AUT,FRA,2,3
50,AUT,FRG,1,3
51,AUT,HUN,1,2
52,AUT,NIR,1,2
53,AUT,SCO,1,1
54,AUT,SUI,1,7
55,AUT,SWE,1,1
56,AUT,TCH,2,5
57,AUT,URU,1,3
58,AUT,USA,1,2
59,BEL,ALG,1,2
60,BEL,ESP,1,1
61,BEL,HUN,1,1
62,BEL,KOR,2,3
63,BEL,KSA,1,0
64,BEL,MAR,1,1
65,BEL,MEX,2,3
66,BEL,NED,1,1
67,BEL,RUS,2,4
68,BEL,SLV,2,4
69,BEL,URS,1,0
70,BEL,URU,1,3
71,BEL,USA,2,4
72,BIH,IRN,1,3
73,BOL,ESP,1,1
74,BRA,ALG,1,1
75,BRA,ARG,1,0
76,BRA,AUS,1,2
77,BRA,AUT,2,4
78,BRA,BEL,1,2
79,BRA,BOL,1,4
80,BRA,BUL,1,2
81,BRA,CHI,5,13
82,BRA,CHN,1,4
83,BRA,CIV,1,3
84,BRA,CMR,1,3
85,BRA,COL,2,4
86,BRA,CRC,1,1
87,BRA,CRO,2,4
88,BRA,DEN,1,3
89,BRA,ENG,3,4
90,BRA,ESP,3,8
91,BRA,FRA,4,6
92,BRA,GDR,1,1
93,BRA,GER,2,2
94,BRA,GHA,1,3
95,BRA,ITA,3,6
96,BRA,MAR,1,3
97,BRA,MEX,4,11
98,BRA,NED,3,1
99,BRA,NOR,1,1
100,BRA,NZL,1,4
101,BRA,PER,2,7
102,BRA,POL,4,13
103,BRA,PRK,1,2
104,BRA,ROU,1,3
105,BRA,RUS,1,2
106,BRA,SCO,3,7
107,BRA,SUI,1,2
108,BRA,SWE,5,19
109,BRA,TCH,5,10
110,BRA,TUR,2,3
111,BRA,URS,2,4
112,BRA,URU,1,3
113,BRA,USA,1,1
114,BRA,WAL,1,1
115,BRA,YUG,3,3
116,BUL,GER,1,2
117,BUL,GRE,1,4
118,BUL,ITA,2,2
119,BUL,MAR,1,1
120,BUL,NED,1,1
121,BUL,URU,1,1
122,CAN,FRA,1,0
123,CHI,AUS,1,3
124,CHI,AUT,2,1
125,CHI,CMR,1,1
126,CHI,ESP,1,1
127,CHI,FRA,1,1
128,CHI,GDR,1,1
129,CHI,ITA,1,2
130,CHI,MEX,1,3
131,CHI,SUI,2,4
132,CHI,URS,1,2
133,CHI,USA,1,5
134,CHI,YUG,1,1
135,CHN,CRC,1,0
136,CIV,JPN,1,2
137,CIV,POR,1,0
138,CIV,SCG,1,3
139,CMR,AUT,1,1
140,CMR,BRA,1,1
141,CMR,COL,1,2
142,CMR,CRO,1,0
143,CMR,DEN,1,1
144,CMR,GER,1,0
145,CMR,KSA,1,1
146,CMR,NED,1,1
147,CMR,ROU,1,2
148,CMR,SWE,1,2
149,CMR,URS,1,0
150,COL,CIV,1,2
151,COL,ENG,1,0
152,COL,GRE,1,3
153,COL,ROU,1,1
154,COL,TUN,1,1
155,COL,URU,2,4
156,CRC,BRA,1,2
157,CRC,ENG,1,0
158,CRC,GRE,2,2
159,CRC,POL,1,1
160,CRC,SCO,1,1
161,CRC,TUR,1,1
162,CRO,AUS,1,2
163,CRO,MEX,2,1
164,CUB,ROU,2,5
